ID сессии,Дата,Имя,Компания,Должность,Email,ID вопроса,Ответы
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","17","Напрямую на сайтах отелей и операторов"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","18","😐 Нейтральный — ситуация стабильная, без резких изменений"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","19","Нехватка квалифицированных кадров в отрасли"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","1","Представитель региональной / федеральной структуры в туризме"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","2","Все направления одновременно"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","3","Работаю на нескольких регионах / федеральный уровень"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","4","Да — заметный рост запросов и реальных бронирований"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","5","Страны Ближнего Востока (ОАЭ, Саудовская Аравия, Иран, Египет)"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","6","Москва и Санкт-Петербург (классический маршрут)"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","7","Визовые ограничения и сложность оформления"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","8","18–25 лет (молодёжь, студенты)"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","9","Самостоятельные поездки без турагентства"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","10","Гастрономический и культурный туризм"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","11","Вырос более чем на 20%"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","12","Краснодарский край и Крым"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","13","Активный рост — россияне едут за рубеж больше, чем раньше"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","14","Турция, ОАЭ, Египет"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","15","Больше самостоятельных поездок, меньше организованных туров"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","16","ИИ-ассистенты и чат-боты для общения с клиентами"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","17","Через онлайн-агрегаторы (Островок, Суточно, Яндекс Путешествия)"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","18","🙂 Умеренно позитивный — рост есть, но с ограничениями; 😟 Сложный — много препятствий для развития"
"fhumjfh31bw","2026-03-20T14:12:18.752Z","Алынкнр","вно","еглв","Alexdor7@mail.ru","19","Недостаточная государственная поддержка и субсидирование"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","1","Эксперт, аналитик или консультант рынка"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","2","Внутренний + выездной"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","3","Другой российский регион"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","4","Интерес есть, но до реального потока туристов далеко"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","5","Китай, Индия, страны Юго-Восточной Азии"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","6","Сибирь, Байкал, Дальний Восток"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","7","Отсутствие прямых рейсов из ключевых стран"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","8","35–50 лет (семьи с детьми, средний класс)"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","9","Комбинированные поездки (частично самостоятельно, частично через агента)"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","10","Гастрономический и культурный туризм"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","11","Вырос более чем на 20%"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","12","Санкт-Петербург и Ленинградская область"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","13","Стагнация — уровень примерно как в 2025 году"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","14","Таиланд, Вьетнам, Индонезия, Индия"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","15","Другое; Свой ответ: кгук"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","16","Цифровые инструменты пока слабо влияют на мою работу"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","17","Через социальные сети и Telegram-каналы"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","18","😐 Нейтральный — ситуация стабильная, без резких изменений"
"h95g8vcbbmg","2026-03-20T14:10:50.968Z","Александр","aisidora","папап","Alexdor7@mail.ru","19","Слабая цифровизация и неудобные сервисы для туристов"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","1","Отельер / управляющий средством размещения; Другое; Свой ответ: укеукп"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","2","Другое; Только въездной туризм (иностранцы в Россию); Внутренний + выездной; Свой ответ: вп"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","3","Санкт-Петербург и Северо-Запад; Краснодарский край / Черноморское побережье"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","4","Скорее нет — ситуация на Ближнем Востоке не влияет на Россию; Интерес есть, но до реального потока туристов далеко"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","5","Китай, Индия, страны Юго-Восточной Азии"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","6","Иностранцы пока не запрашивают конкретные направления"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","7","Негативный медиаобраз России за рубежом"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","8","50+ лет (зрелые путешественники, пенсионеры)"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","9","Корпоративные и деловые поездки (MICE)"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","10","Велнес и оздоровительные курорты"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","11","Вырос незначительно — в пределах 10–20%"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","12","Алтай, Байкал, Сибирь"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","13","Снижение — больше переориентации на внутренний туризм"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","14","Страны СНГ (Казахстан, Узбекистан, Беларусь, Армения)"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","15","Рост спроса на длительные поездки (2 недели и больше)"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","16","Системы динамического ценообразования"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","17","Через турагентов лично или по рекомендации"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","18","😐 Нейтральный — ситуация стабильная, без резких изменений"
"yefcsh88z4","2026-03-20T13:56:08.369Z","Александр","aisidora","какав","Alexdor7@mail.ru","19","Нехватка квалифицированных кадров в отрасли"
